駅名,下り 乗車,下り 降車,下り 通過,上り 乗車,上り 降車,上り 通過
東海道本線,,,,,,
東京,"100,671",0,"100,671",0,"92,896","92,896"
新橋,"60,406","2,713","158,364","1,990","62,114","153,020"
品川,"63,887","8,074","214,177","9,432","63,379","206,967"
川崎,"41,568","55,977","199,768","57,536","41,530","190,961"
横浜,"116,431","97,970","218,229","92,530","114,902","213,333"
戸塚,"26,389","59,277","185,341","57,911","26,325","181,747"
大船,"49,879","44,628","190,592","42,842","52,207","191,112"
藤沢,"36,978","62,865","164,705","65,289","33,921","159,744"
辻堂,"9,510","39,277","134,938","37,400","9,579","131,923"
茅ヶ崎,"8,665","51,791","91,812","49,828","8,600","90,695"
平塚,"11,651","56,448","47,015","55,336","11,701","47,060"
大磯,266,"5,208","42,073","4,991",217,"42,286"
二宮,"2,336","8,442","35,967","8,008","2,198","36,476"
国府津,"1,300","5,564","31,703","5,306","1,296","32,466"
鴨宮,"3,945","5,378","30,270","4,997","3,946","31,415"
小田原,"5,558","25,713","10,115","27,070","5,120","9,465"
早川,47,"1,062","9,100",674,0,"8,791"
根府川,22,354,"8,768",204,39,"8,626"
真鶴,120,"3,147","5,741","3,097",126,"5,655"
湯河原,0,"5,741",0,"5,655",0,0
合計,"539,629","539,629", ,"530,096","530,096",
,,,,,,
中央本線,,,,,,
東京,"143,947",0,"143,947",0,"132,966","132,966"
神田,"72,681","1,092","215,536",791,"76,402","208,577"
御茶ノ水,"131,714","42,645","304,605","44,871","135,345","299,051"
水道橋,"5,852","1,364","309,093","2,072","6,245","303,224"
飯田橋,"6,281","5,063","310,311","4,952","6,447","304,719"
市ヶ谷,"4,420","1,868","312,863","1,758","4,843","307,804"
四ッ谷,"74,007","28,628","358,242","30,485","75,350","352,669"
信濃町,"2,181",879,"359,544",665,"2,134","354,138"
千駄ヶ谷,"1,526",243,"360,827",385,"1,828","355,581"
代々木,"3,473","2,270","362,030","2,044","3,457","356,994"
新宿,"248,208","131,186","479,052","132,539","243,306","467,761"
大久保,964,"2,649","477,367","2,870",889,"465,780"
東中野,"1,287","5,718","472,936","6,233","1,973","461,520"
中野,"39,398","52,101","460,233","52,647","40,942","449,815"
高円寺,"10,636","26,718","444,151","26,670","10,951","434,096"
阿佐ヶ谷,"9,160","31,363","421,948","30,507","9,385","412,974"
荻窪,"30,384","42,390","409,942","41,679","29,591","400,886"
西荻窪,"12,778","29,424","393,296","28,447","12,580","385,019"
吉祥寺,"52,027","46,902","398,421","45,590","53,408","392,837"
三鷹,"41,966","43,631","396,756","43,900","41,274","390,211"
武蔵境,"17,233","51,225","362,764","49,288","17,812","358,735"
東小金井,"8,686","22,777","348,673","22,526","8,551","344,760"
武蔵小金井,"20,920","49,994","319,599","49,395","20,898","316,263"
国分寺,"41,779","66,897","294,481","63,641","43,229","295,851"
西国分寺,"49,219","46,023","297,677","45,845","47,938","297,944"
国立,"18,224","47,234","268,667","46,783","17,946","269,107"
立川,"40,684","159,051","150,300","158,343","40,969","151,733"
日野,"6,442","25,928","130,814","25,922","6,472","132,283"
豊田,"7,312","23,910","114,216","23,768","7,486","116,001"
八王子,"22,612","69,790","67,038","70,239","23,347","69,109"
西八王子,"1,309","34,803","33,544","34,735","1,503","35,877"
高尾,"3,203","26,291","10,456","28,182","2,780","10,475"
相模湖,55,"2,218","8,293","2,101",56,"8,430"
藤野,39,"1,669","6,663","1,619",36,"6,847"
上野原,81,"2,478","4,266","2,419",81,"4,509"
四方津,34,"1,501","2,799","1,589",42,"2,962"
梁川,14,38,"2,775",57,10,"2,915"
鳥沢,42,233,"2,584",236,59,"2,738"
猿橋,61,803,"1,842",858,103,"1,983"
大月,41,"1,761",122,"1,911",32,104
初狩,3,75,50,75,2,31
笹子,0,50,0,31,0,0
合計,"1,130,883","1,130,883", ,"1,128,668","1,128,668",
,,,,,,
東北本線,,,,,,
上野,"46,256",0,"46,256",0,"35,703","35,703"
尾久,"2,581","1,306","47,531",746,"2,254","37,211"
赤羽,"22,626","6,730","63,427","4,930","20,560","52,841"
浦和,"16,046","7,414","72,059","6,592","15,928","62,177"
さいたま新都心,"4,522","5,650","70,931","5,759","4,204","60,622"
大宮,"91,446","19,907","142,470","12,618","95,392","143,396"
土呂,"1,035","14,018","129,487","13,958","1,074","130,512"
東大宮,"3,930","41,422","91,995","41,252","3,992","93,252"
蓮田,"3,632","21,741","73,886","21,585","3,735","75,402"
白岡,"2,109","10,504","65,491","10,325","2,248","67,325"
新白岡,412,"5,759","60,144","5,586",503,"62,242"
久喜,"4,239","28,697","35,686","30,834","3,701","35,109"
東鷲宮,165,"9,441","26,410","9,029",166,"26,246"
栗橋,372,"7,559","19,223","7,329",355,"19,272"
古河,376,"8,594","11,005","8,177",407,"11,502"
野木,653,"3,259","8,399","3,140",687,"9,049"
間々田,219,"2,025","6,593","1,917",258,"7,390"
小山,0,"6,593",0,"7,390",0,0
合計,"200,619","200,619", ,"191,167","191,167",
,,,,,,
京浜東北・根岸線,,,,,,
大宮,"94,108",0,"94,108",0,"93,060","93,060"
さいたま新都心,"18,149","7,378","104,879","7,304","18,246","104,002"
与野,"15,442","9,477","110,844","9,402","15,613","110,213"
北浦和,"37,560","13,805","134,599","13,642","38,395","134,966"
浦和,"40,243","23,402","151,440","24,435","39,442","149,973"
南浦和,"74,419","70,386","155,473","70,611","74,411","153,773"
蕨,"43,636","19,130","179,979","19,025","44,843","179,591"
西川口,"44,833","14,309","210,503","14,386","45,959","211,164"
川口,"68,453","25,758","253,198","25,933","69,856","255,087"
赤羽,"47,014","89,995","210,217","91,028","47,479","211,538"
東十条,"13,485","5,919","217,783","5,453","13,415","219,500"
王子,"40,486","34,861","223,408","35,461","41,553","225,592"
上中里,"5,162","1,449","227,121","1,466","5,164","229,290"
田端,"13,513","31,963","208,671","32,386","12,571","209,475"
西日暮里,"4,217","14,172","198,716","12,918","4,591","201,148"
日暮里,"14,337","17,664","195,389","18,475","13,489","196,162"
鶯谷,"2,011","1,682","195,718","1,551","1,770","196,381"
上野,"41,598","16,341","220,975","14,934","51,014","232,461"
御徒町,"5,013","7,343","218,645","7,491","5,067","230,037"
秋葉原,"54,998","65,922","207,721","69,434","55,145","215,748"
神田,"16,000","20,194","203,527","20,381","15,593","210,960"
東京,"57,605","36,775","224,357","40,032","57,256","228,184"
有楽町,"31,737","16,682","239,412","18,193","30,597","240,588"
新橋,"36,762","23,008","253,166","24,587","36,491","252,492"
浜松町,"27,870","35,352","245,684","34,252","25,949","244,189"
田町,"37,058","23,112","259,630","24,090","36,785","256,884"
品川,"96,519","30,777","325,372","36,206","88,993","309,671"
大井町,"40,341","74,685","291,028","69,370","40,483","280,784"
大森,"29,494","72,893","247,629","71,985","28,996","237,795"
蒲田,"42,717","102,004","188,342","95,073","44,395","187,117"
川崎,"50,448","64,592","174,198","63,111","50,425","174,431"
鶴見,"42,715","55,709","161,204","55,963","43,057","161,525"
新子安,"11,223","15,146","157,281","15,268","11,248","157,505"
東神奈川,"87,579","46,404","198,456","45,446","84,708","196,767"
横浜,"120,159","107,954","210,661","105,812","119,257","210,212"
桜木町,"14,845","59,896","165,610","61,115","15,129","164,226"
関内,"13,496","54,484","124,622","54,228","13,321","123,319"
石川町,"6,560","23,223","107,959","23,104","6,263","106,478"
山手,"1,231","12,883","96,307","12,837","1,250","94,891"
根岸,"4,814","12,006","89,115","11,789","4,992","88,094"
磯子,"3,555","13,018","79,652","12,925","3,561","78,730"
新杉田,"16,860","27,378","69,134","27,567","16,933","68,096"
洋光台,"4,580","14,241","59,473","14,113","4,631","58,614"
港南台,"8,038","23,150","44,361","22,135","7,878","44,357"
本郷台,"6,930","10,023","41,268","9,906","7,314","41,765"
大船,0,"41,268",0,"41,765",0,0
合計,"1,487,813","1,487,813", ,"1,486,588","1,486,588",
,,,,,,
常磐線快速,,,,,,
上野,"98,077",0,"98,077",0,"91,117","91,117"
日暮里,"117,690",902,"214,865","1,406","116,931","206,642"
三河島,"5,556","4,681","215,740","4,698","5,477","207,421"
南千住,"6,663","12,014","210,389","12,018","6,755","202,158"
北千住,"57,943","62,520","205,812","62,137","55,967","195,988"
松戸,"22,175","79,993","147,994","74,486","25,597","147,099"
柏,"36,495","66,220","118,269","66,037","37,442","118,504"
我孫子,"8,481","31,707","95,043","32,298","8,510","94,716"
天王台,"1,187","19,057","77,173","19,022","1,184","76,878"
取手,"7,295","30,251","54,217","30,271","7,177","53,784"
藤代,219,"6,280","48,156","6,241",215,"47,758"
佐貫,"5,651","12,422","41,385","12,363","5,661","41,056"
牛久,565,"10,716","31,234","10,611",577,"31,022"
ひたち野うしく,222,"4,429","27,027","4,379",238,"26,881"
荒川沖,303,"7,559","19,771","7,515",323,"19,689"
土浦,"1,105","12,399","8,477","12,441","1,070","8,318"
神立,67,"1,899","6,645","1,846",73,"6,545"
高浜,17,"2,676","3,986","2,677",8,"3,876"
石岡,0,"3,986",0,"3,876",0,0
合計,"369,711","369,711", ,"364,322","364,322",
,,,,,,
常磐線各駅停車,,,,,,
北千住,"36,517",0,"36,517",0,"36,925","36,925"
綾瀬,"89,754",270,"126,001","1,932","75,415","110,408"
亀有,"8,046","32,728","101,319","26,580","7,488","91,316"
金町,"9,723","37,658","73,384","32,288","8,967","67,995"
松戸,"43,849","22,352","94,881","23,101","42,138","87,032"
北松戸,"4,224","11,268","87,837","10,687","4,027","80,372"
馬橋,"6,700","16,785","77,752","15,589","6,667","71,450"
新松戸,"51,022","39,597","89,177","36,976","51,008","85,482"
北小金,"4,170","21,673","71,674","20,442","4,226","69,266"
南柏,"9,359","18,055","62,978","14,873","8,195","62,588"
柏,"13,169","44,186","31,961","43,374","12,918","32,132"
北柏,"1,126","19,277","13,810","18,724","1,101","14,509"
我孫子,188,"10,576","3,422","10,744",188,"3,953"
天王台,11,"1,824","1,609","2,241",11,"1,723"
取手,0,"1,609",0,"1,723",0,0
合計,"277,858","277,858", ,"259,274","259,274",
,,,,,,
総武線各駅停車,,,,,,
千葉,"63,685",0,"63,685",0,"63,008","63,008"
西千葉,"19,983","9,278","74,390","9,343","19,737","73,402"
稲毛,"21,369","11,802","83,957","11,331","22,183","84,254"
新検見川,"12,625","5,264","91,318","5,286","13,021","91,989"
幕張,"11,241","4,036","98,523","4,028","11,370","99,331"
幕張本郷,"13,917","6,603","105,837","6,593","13,898","106,636"
津田沼,"51,257","26,148","130,946","26,011","53,366","133,991"
東船橋,"12,442","2,616","140,772","2,669","12,700","144,022"
船橋,"78,795","26,328","193,239","27,232","78,482","195,272"
西船橋,"62,886","86,563","169,562","85,296","64,937","174,913"
下総中山,"12,492","6,390","175,664","6,296","12,873","181,490"
本八幡,"32,877","34,293","174,248","34,449","34,469","181,510"
市川,"36,079","30,769","179,558","32,041","36,355","185,824"
小岩,"48,635","11,179","217,014","11,593","50,125","224,356"
新小岩,"45,372","16,387","245,999","17,469","46,067","252,954"
平井,"25,023","5,822","265,200","5,755","25,472","272,671"
亀戸,"48,619","15,087","298,732","15,058","50,970","308,583"
錦糸町,"76,260","38,552","336,440","39,876","81,610","350,317"
両国,"23,781","11,593","348,628","11,951","23,839","362,205"
浅草橋,"45,364","17,254","376,738","17,316","45,895","390,784"
秋葉原,"123,184","159,087","340,835","164,946","124,064","349,902"
御茶ノ水,"28,128","133,519","235,444","137,440","30,072","242,534"
水道橋,"24,214","48,532","211,126","48,287","25,183","219,430"
飯田橋,"26,422","60,701","176,847","62,860","25,265","181,835"
市ヶ谷,"25,810","25,905","176,752","27,980","22,870","176,725"
四ッ谷,"17,517","23,859","170,410","23,487","17,912","171,150"
信濃町,"15,047","9,093","176,364","9,083","15,896","177,963"
千駄ヶ谷,"10,123","7,818","178,669","7,282","9,987","180,668"
代々木,"11,397","48,488","141,578","46,631","12,304","146,341"
新宿,"83,004","84,987","139,595","90,522","78,491","134,310"
大久保,"7,891","21,951","125,535","21,707","7,698","120,301"
東中野,"9,559","27,671","107,423","26,604","8,524","102,221"
中野,"27,053","33,196","101,280","31,203","25,307","96,325"
高円寺,"3,460","11,679","93,061","9,846","3,188","89,667"
阿佐ヶ谷,"3,113","10,596","85,578","9,880","2,936","82,723"
荻窪,"7,917","15,193","78,302","14,285","7,799","76,237"
西荻窪,"2,418","16,294","64,426","15,922","2,359","62,674"
吉祥寺,"5,515","23,636","46,305","21,819","4,272","45,127"
三鷹,0,"46,305",0,"45,127",0,0
合計,"1,174,474","1,174,474", ,"1,184,504","1,184,504",
,,,,,,
総武本線,,,,,,
東京,"186,249",0,"186,249",0,"180,663","180,663"
新日本橋,"11,107","6,314","191,042","6,663","11,041","185,041"
馬喰町,"11,875","9,580","193,337","11,307","10,167","183,901"
錦糸町,"51,954","22,490","222,801","22,611","49,694","210,984"
新小岩,"4,878","25,687","201,992","24,099","5,097","191,982"
市川,"6,201","30,970","177,223","28,838","6,312","169,456"
船橋,"17,311","46,874","147,660","45,058","19,960","144,358"
津田沼,"14,327","45,706","116,281","44,714","13,714","113,358"
稲毛,"3,968","19,049","101,200","18,342","3,521","98,537"
千葉,"32,842","67,983","66,059","67,264","33,314","64,587"
東千葉,538,886,"65,711",950,602,"64,239"
都賀,"5,353","15,838","55,226","15,879","5,401","53,761"
四街道,"1,114","15,994","40,346","15,672","1,112","39,201"
物井,167,"5,635","34,878","5,681",170,"33,690"
佐倉,"2,259","28,440","8,697","26,941","2,277","9,026"
南酒々井,6,45,"8,658",72,17,"8,971"
榎戸,51,"1,478","7,231","1,713",80,"7,338"
八街,107,"3,490","3,848","3,465",98,"3,971"
日向,45,856,"3,037",963,33,"3,041"
成東,99,"2,685",451,"2,580",101,562
松尾,14,169,296,219,14,357
横芝,0,296,0,357,0,0
合計,"350,465","350,465", ,"343,388","343,388",
,,,,,,
山手線,,,,,,
品川,"228,879","71,127","394,389","84,195","199,737","362,712"
大崎,"47,981","69,292","373,078","69,224","46,339","339,827"
五反田,"85,141","50,296","407,923","50,969","79,695","368,553"
